id,value
af,អាហ្វ្រិកាន
af_NA,"អាហ្វ្រិកាន (ណាមីប៊ី)"
af_ZA,"អាហ្វ្រិកាន (អាហ្វ្រិកខាងត្បូង)"
id,ឥណ្ឌូណេស៊ី
id_ID,"ឥណ្ឌូណេស៊ី (ឥណ្ឌូណេស៊ី)"
ig,អ៊ីកបូ
ig_NG,"អ៊ីកបូ (នីហ្សេរីយ៉ា)"
it,អ៊ីតាលី
it_VA,"អ៊ីតាលី (បុរី​វ៉ាទីកង់)"
it_SM,"អ៊ីតាលី (សាន​ម៉ារីណូ)"
it_CH,"អ៊ីតាលី (ស្វីស)"
it_IT,"អ៊ីតាលី (អ៊ីតាលី)"
ee,អ៊ីវ
ee_TG,"អ៊ីវ (តូហ្គោ)"
ee_GH,"អ៊ីវ (ហ្គាណា)"
he,អ៊ីស្រាអែល
he_IL,"អ៊ីស្រាអែល (អ៊ីស្រាអែល)"
is,អ៊ីស្លង់
is_IS,"អ៊ីស្លង់ (អ៊ីស្លង់)"
uk,អ៊ុយក្រែន
uk_UA,"អ៊ុយក្រែន (អ៊ុយក្រែន)"
ug,អ៊ុយហ្គឺរ
ug_CN,"អ៊ុយហ្គឺរ (ចិន)"
or,អូឌៀ
or_IN,"អូឌៀ (ឥណ្ឌា)"
ur,អ៊ូរឌូ
ur_PK,"អ៊ូរឌូ (ប៉ាគីស្ថាន)"
ur_IN,"អ៊ូរឌូ (ឥណ្ឌា)"
om,អូរ៉ូម៉ូ
om_KE,"អូរ៉ូម៉ូ (កេនយ៉ា)"
om_ET,"អូរ៉ូម៉ូ (អេត្យូពី)"
uz,អ៊ូសបេគ
uz_Cyrl_UZ,"អ៊ូសបេគ (ស៊ីរីលីក, អ៊ូសបេគីស្ថាន)"
uz_Cyrl,"អ៊ូសបេគ (ស៊ីរីលីក)"
uz_Latn_UZ,"អ៊ូសបេគ (ឡាតាំង, អ៊ូសបេគីស្ថាន)"
uz_Latn,"អ៊ូសបេគ (ឡាតាំង)"
uz_Arab_AF,"អ៊ូសបេគ (អារ៉ាប់, អាហ្វហ្គានីស្ថាន)"
uz_Arab,"អ៊ូសបេគ (អារ៉ាប់)"
uz_AF,"អ៊ូសបេគ (អាហ្វហ្គានីស្ថាន)"
uz_UZ,"អ៊ូសបេគ (អ៊ូសបេគីស្ថាន)"
os,អូស៊ីទិក
os_RU,"អូស៊ីទិក (រុស្ស៊ី)"
os_GE,"អូស៊ីទិក (ហ្សកហ្ស៊ី)"
ga,អៀរឡង់
ga_IE,"អៀរឡង់ (អៀរឡង់)"
et,អេស្តូនី
et_EE,"អេស្តូនី (អេស្តូនី)"
es,អេស្ប៉ាញ
es_CR,"អេស្ប៉ាញ (កូស្តារីកា)"
es_CO,"អេស្ប៉ាញ (កូឡុំប៊ី)"
es_IC,"អេស្ប៉ាញ (កោះ​កាណារី)"
es_CU,"អេស្ប៉ាញ (គុយបា)"
es_EA,"អេស្ប៉ាញ (ជឺតា និង​ម៉េលីឡា)"
es_NI,"អេស្ប៉ាញ (នីការ៉ាហ្គ័រ)"
es_PA,"អេស្ប៉ាញ (ប៉ាណាម៉ា)"
es_PY,"អេស្ប៉ាញ (ប៉ារ៉ាហ្គាយ)"
es_BO,"អេស្ប៉ាញ (បូលីវី)"
es_PE,"អេស្ប៉ាញ (ប៉េរូ)"
es_BZ,"អេស្ប៉ាញ (បេលីហ្ស)"
es_BR,"អេស្ប៉ាញ (ប្រេស៊ីល)"
es_PR,"អេស្ប៉ាញ (ព័រតូរីកូ)"
es_MX,"អេស្ប៉ាញ (ម៉ិកស៊ិក)"
es_VE,"អេស្ប៉ាញ (វេនេហ្ស៊ុយឡា)"
es_US,"អេស្ប៉ាញ (សហរដ្ឋអាមេរិក)"
es_DO,"អេស្ប៉ាញ (សាធារណរដ្ឋ​ដូមីនីក)"
es_CL,"អេស្ប៉ាញ (ស៊ីលី)"
es_HN,"អេស្ប៉ាញ (ហុងឌូរ៉ាស)"
es_GT,"អេស្ប៉ាញ (ហ្គាតេម៉ាឡា)"
es_GQ,"អេស្ប៉ាញ (ហ្គីណេអេក្វាទ័រ)"
es_PH,"អេស្ប៉ាញ (ហ្វីលីពីន)"
es_AR,"អេស្ប៉ាញ (អាហ្សង់ទីន)"
es_UY,"អេស្ប៉ាញ (អ៊ុយរ៉ាហ្គាយ)"
es_EC,"អេស្ប៉ាញ (អេក្វាឌ័រ)"
es_ES,"អេស្ប៉ាញ (អេស្ប៉ាញ)"
es_SV,"អេស្ប៉ាញ (អែលសាល់វ៉ាឌ័រ)"
eo,អេស្ពេរ៉ាន់តូ
am,អំហារិក
am_ET,"អំហារិក (អេត្យូពី)"
tl,Tagalog
tl_PH,"Tagalog (Philippines)"
